mission,en,de,fr,jp
440,A-1: High-grade Energization Materials I,A-1: Hochleistungs-Energiegenerator (Materialien),A-1 : Matériaux pour générateurs à haute énergie,A-1：高エネルギー発生装置用素材の調達
441,A-2: High-grade Energization Materials II,A-2: Hochleistungs-Energiegenerator (Materialien),A-2 : Matériaux pour générateurs à haute énergie,A-2：高エネルギー発生装置用素材の調達
442,A-3: High-grade Energization Materials III,A-3: Hochleistungs-Energiegenerator (Materialien),A-3 : Matériaux pour générateurs à haute énergie,A-3：高エネルギー発生装置用素材の調達
443,A-2: Fine-grade Water Filter Materials I,A-2: Präzise Wasserfilter (Materialien),A-2 : Composants de filtre à eau avancé,A-2：精密水質フィルター用素材の採集
444,A-3: Fine-grade Water Filter Materials II,A-3: Präzise Wasserfilter (Materialien),A-3 : Composants de filtre à eau avancé,A-3：精密水質フィルター用素材の採集
445,A-1: Fine-grade Air Filter Materials I,A-1: Präzise Luftfilter (Materialien),A-1 : Composants de filtre à air avancé,A-1：精密エアフィルター用素材の採集
446,A-3: Fine-grade Air Filter Materials II,A-3: Präzise Luftfilter (Materialien),A-2 : Composants de filtre à air avancé,A-3：精密エアフィルター用素材の採集
447,A-2: Fine-grade Air Filter Materials III,A-2: Präzise Luftfilter (Materialien),A-3 : Composants de filtre à air avancé,A-2：精密エアフィルター用素材の採集
448,A-3: Folkloric Materials I,A-3: Almanachmaterialien-Erforschung I,A-3 : Matériaux de légende,A-3：伝承録級素材の採集調査
449,A-3: Folkloric Materials II,A-3: Almanachmaterialien-Erforschung II,A-3 : Matériaux de légende II,A-3：伝承録級素材の採集調査 II
450,A-3: Folkloric Materials III,A-3: Almanachmaterialien-Erforschung III,A-3 : Matériaux de légende III,A-3：伝承録級素材の採集調査 III
451,Lunch Emergency,Mittagsschmaus-Zutaten,Vivres d'urgence pour déjeuner,昼食用食材の緊急依頼
452,Large Aquatic Specimens,Große Meeresfrüchte,Grand spécimen aquatique,大型水産物の獲得調査
453,Western Water Inspection,Wassererforschung (Westliche Station),Contrôle qualité de l'eau à l'ouest de la station,基地西の水質調査協力
454,Aquatic Foodstuffs,Meeresfrüchte-Notvorrat,Produits de la mer pour mise en réserve,水産食料備蓄の調達
455,Weeping Pool Ecological Survey,Ökologie-Erforschung (Heulbecken),Étude écologique de l'étang des Larmes,貯涙池の生態調査
456,Assorted Alchemical Materials,Großlieferung für Alchemisten-Materialien,Ingrédients d'alchimie en grande quantité,錬金薬用素材の大量調達
457,Big Fish,Gigantisches Wasserlebewesen,Poisson géant pour étude,巨大魚獲得調査
458,Environmental Inspection,Homogenetische Probenerforschung,Étude environnementale à partir d'échantillons de mêmes espèces,同種サンプルによる環境調査
459,Polarized Dyes,Polarisierende Farbstoffe (Meeresfrüchte),Produits de la mer à pigments polarisants,偏光塗料用の水産物調達
460,Southeast Well Ecological Survey,Wasserlachen-Erforschung (Südöstliche Station),Étude écologique d'un plan d'eau au sud-est de la station,基地南東水溜まりの生態調査
461,Fish Sauce Ingredients,Großlieferung an Fischsoßen-Zutaten,Ingrédients de sauce de poisson en grande quantité,魚醤用素材の大量調達
462,Aquatic Samples,Hochqualitative Meeresproben,Contrôle qualité via collecte d'échantillons aquatiques,水産物サンプルへの品質協力
463,Northwestern Water Inspection,Wassererforschung (Nördliche Station),Contrôle qualité de l'eau au nord-ouest de la station,基地北西の水質調査協力
464,Hollow Harbor Water Inspection,Wassererforschung (Leere Löcher),Contrôle qualité de l'eau au Creux de La Gourde,ホローハーバーの水質調査協力
465,Preserved Foodstuffs,Langzeitnahrung (Meeresfrüchte),Produits de la mer pour conservation,保存食用水産物の調達
466,Hollow Harbor Ecological Survey,Ökologie-Erforschung (Leere Löcher),Étude écologique du Creux de La Gourde,ホローハーバーの生態調査
467,Absolute Specimen,Ökologie-Erforschung (Größtes Exemplar),Étude écologique : record de taille,最大個体に関する生態調査
468,Aetherochemical Creatures,Mystische Wasserwesen,Spécimens endémiques aux fuites magismologiques pour transformation,加工用魔泉生物の調達
469,Westward Ecological Survey,Ökologie-Erforschung (Westliches Pfötchen),Étude écologique du Saut du Lapin ouest,ホッププリント・ウェストの生態調査
470,Supper Emergency,Festmahl-Zutaten,Vivres d'urgence pour dîner,晩餐用食材の緊急調達
471,Alchemical Resources,Alchemie-Mixtur (Meeresfrüchte),Produits de la mer pour alchimie,錬金薬用水産物の採集
472,A-1: Northward Ecological Survey,A-1: Ökologie-Erforschung (Nördliches Pfötchen),A-1 : Étude écologique du Saut du Lapin nord,A-1：ホッププリント・ノースの生態調査
473,A-1: Rare Aquatic Specimens,A-1: Seltene Meeresfrüchte,A-1 : Spécimen aquatique rare pour étude,A-1：希少水産物の獲得調査
474,A-1: Foodstuff Emergency,A-1: Meeresfrüchte-Notlieferung,A-1 : Produits de la mer en urgence,A-1：水産食材の緊急調達
475,A-1: Precise Water Survey,A-1: Präzise Wassererforschung,A-1 : Contrôle qualité avancé de l'eau,A-1：精密水質調査
476,A-1: Fine-grade Aquatic Processing Materials,A-1: Meeresfrüchte für präzise Veredelung,A-1 : Produits de la mer pour transformation avancée,A-1：精密加工用水産物の採集
477,A-2: Large Aquatic Specimens,A-2: Große Meeresfrüchte,A-2 : Grand spécimen aquatique,A-2：大型水産物の獲得調査
478,A-2: Assorted Alchemical Materials,A-2: Großlieferung für Alchemisten-Materialien,A-2 : Ingrédients d'alchimie en grande quantité,A-2：錬金薬用素材の大量調達
479,A-2: Aetherial Falls Experiment,A-2: Expertisen-Experiment (Ätherfälle),A-2 : Essai technologique aux Chutes éthérées,A-2：月底の魔滝での試験技術協力
480,A-2: Foodstuff Emergency,A-2: Meeresfrüchte-Notlieferung,A-2 : Produits de la mer en urgence,A-2：水産食材の緊急調達
481,A-3: Palus Arsenici Ecological Survey,A-3: Ökologie-Erforschung (Palus Arsenici),A-3 : Étude écologique de Palus Arsenici,A-3：パルス・アーセニキの生態調査
482,A-3: Large Aquatic Specimens,A-3: Große Meeresfrüchte,A-3 : Grand spécimen aquatique,A-3：大型水産物の獲得調査
483,A-1: Aquatic Inspection I,A-1: Vielfalt-Inspektion (Meeresfrüchte),A-1 : Étude de biodiversité aquatique,A-1：水場の多様性検証
484,A-2: Aquatic Inspection II,A-2: Vielfalt-Inspektion (Meeresfrüchte),A-2 : Étude de biodiversité aquatique,A-2：水場の多様性検証
485,A-1: Fine-grade Water Filter Materials I,A-1: Präzise Wasserfilter (Materialien),A-1 : Composants de filtre à eau avancé,A-1：精密水質フィルター用素材の採集
486,A-2: Fine-grade Water Filter Materials II,A-2: Präzise Wasserfilter (Materialien),A-2 : Composants de filtre à eau avancé,A-2：精密水質フィルター用素材の採集
487,A-3: Fine-grade Water Filter Materials III,A-3: Präzise Wasserfilter (Materialien),A-3 : Composants de filtre à eau avancé,A-3：精密水質フィルター用素材の採集
488,A-2: Coexisting Species I,A-2: Ökologie-Erforschung koexistenter Arten,A-2 : Étude écologique d'espèces cohabitantes,A-2：共存種についての生態調査
489,A-3: Coexisting Species II,A-3: Ökologie-Erforschung koexistenter Arten,A-2 : Étude écologique d'espèces cohabitantes,A-3：共存種についての生態調査
490,A-1: Aetherochemical Samples I,A-1: Ätherquellen-Proben,A-1 : Échantillons issus de fuites magismologiques,A-1：魔泉環境のサンプル採集
491,A-2: Aetherochemical Samples II,A-2: Ätherquellen-Proben,A-2 : Échantillons issus de fuites magismologiques,A-2：魔泉環境のサンプル採集
492,A-3: Aetherochemical Samples III,A-3: Ätherquellen-Proben,A-3 : Échantillons issus de fuites magismologiques,A-3：魔泉環境のサンプル採集
493,A-3: Unidentified Aquatic Specimens I,A-3: Unbekannte Unterwasserwesen I,A-3 : Espèces non répertoriées,A-3：未確認水棲生物の存在調査
494,A-3: Unidentified Aquatic Specimens II,A-3: Unbekannte Unterwasserwesen II,A-3 : Espèces non répertoriées II,A-3：未確認水棲生物の存在調査 II
495,A-3: Unidentified Aquatic Specimens III,A-3: Unbekannte Unterwasserwesen III,A-3 : Espèces non répertoriées III,A-3：未確認水棲生物の存在調査 III
496,A-2: Aquatic Resource Research Tanks,A-2: Behälter für Meeresforschung,A-2 : Conteneurs pour la recherche sur les produits marins,A-2：水産物研究用コンテナの増産
497,A-2: Impact-resistant Containers,A-2: Schockresistenter Behälter,A-2 : Conteneurs résistants aux chocs,A-2：耐衝撃コンテナの製作
498,A-2: Soothing Censers,A-2: Räuchergefäß von Mutter Ætheris,A-2 : Brûleurs d'encens de la planète-mère,A-2：癒しの母星の香炉
499,A-3: Automaton Digging,A-3: Ausweg durch Grundgesteinsabbau,A-3 : Étude de l'extraction de roches souterraines,A-3：岩盤採掘機で活路を開け
500,A-3: Lunar Leather,A-3: Gerbleder für Mondrohstoffe,A-3 : Cuir tanné avec des matériaux séléniens,A-3：月面素材のなめし革
501,A-3: High-quality Floor Tiling,A-3: Blitzblanke Bodenplatten,A-3 : Damier brillant de luxe,A-3：床をつるぴか高級タイルに
502,A-2: Lunar Tanning Agents,A-2: Ortserforschung für Gerbmaterialien,A-2 : Approvisionnement en matériaux de tannerie,A-2：なめし材の現地調達
503,A-2: Special Spongoi Processing,A-2: Verarbeitung von Sonderhyphen,A-2 : Traitement de mycélium rare,A-2：特異な菌糸の加工
504,A-2: Freshness Preservation,A-2: Verarbeitung gelagerter Lebensmittel,A-2 : Transformation d'aliments frais,A-2：鮮度を保った食品加工
505,A-3: Lunar Tools,A-3: Sammlerwerkzeuge für Mondrohstoffe,A-3 : Outils pour la récolte de matériaux séléniens,A-3：月面素材の採集道具利用
506,A-3: High Burn Furnace,A-3: Hochleistungs-Ofen,A-3 : Fabrication de fours à haute température,A-3：高火力炉の製造
507,A-3: Mushroom-borne Comfort,A-3: Pilzwärme für daheim,A-3 : Champignons d'intérieur,A-3：部屋でもキノコのぬくもりを
508,A-2: Processed Aquatic Metals,A-2: Verarbeitung von Unterwassermineralien,A-2 : Transformation de métaux aquatiques en lingots,A-2：水産金属のインゴット化加工
509,A-2: Refined Moon Gel,A-2: Verbessertes Mondgel,A-2 : Glu sélénienne améliorée,A-2：改良版ムーンゲルの製作
510,A-3: Crystallic Gems,A-3: Kristall-Juwel,A-3 : Pierre précieuse cristalline,A-3：クリスタルのような宝石
511,A-3: Eel Rations,A-3: Aal-Rationen,A-3 : Ration d'anguille,A-3：ウナギレーションの製作
512,Work Ladders,Arbeiter-Podest,Échelles de chantier,作業用足場の製作
513,Kindling,Verbrennungsmaterialien,Bois d'allumage,燃焼促進材の製作
514,Fungal Building Materials,Prototyp-Hyphen-Baustoff,Nouveaux matériaux fongiques de construction,新型菌糸建材の製作
515,Meteorite Drills,Meteorbohrer,Foreuses à météorites,隕石掘削用ドリルの製作
516,Vacuum Muzzles,Saugmündung,Buses d'aspirateurs,吸引機マズルの製作
517,Flamethrower Parts,Kosmobrenner-Bauteile,Composants de lance-flammes,火炎放射器部品の製作
518,Spare Vacuum Tanks,Reserve-Tank (Saugmaschine),Réservoirs de rechange pour aspirateur,吸引機の予備タンクの製作
519,Vehicular Plating,Ausbesserungsplatten (Vehikel),Plaques pour entretien de véhicule,ローバー補修用板金の製作
520,Gas Tanks,Gastank,Réservoirs de gaz,ガスタンクの製作
521,Lighting Repair Tools,Werkzeuge zur Beleuchtungsreparatur,Outils de réparation pour l'éclairage,照明修理用具の製作
522,Intricate Vacuum Parts,Präzise Bauteile (Saugmaschine),Pièces de précision pour aspirateur,吸引機の精密部品の製作
523,Spare Vehicle Parts,Ausbesserungskomponenten (Vehikel),Pièces de rechange pour véhicule,ローバー補修用部材の製作
524,Impenetrable Gloves,Sicherheitshandschuhe,Gants indéchirables,切削作業用グローブの製作
525,Reinforced Gas Masks,Gasmaske,Masques à gaz,防護ガスマスクの製作
526,Flame-resistant Workboots,Feuerresistente Arbeiter-Stiefel,Bottes de travail résistantes au feu,作業用耐火ブーツの製作
527,Spare Cloth,Wartungsstoff,Tissus pour entretien,整備用布材の製作
528,Flame-resistant Work Cloth,Feuerresistenter Arbeiter-Stoff,Tissus résistants au feu,作業用耐火布の製作
529,Fungal Cloth,Prototyp-Hyphen-Stoff,Nouveaux tissus mycéliens,新型菌糸布材の製作
530,Aether-resistant Agent,Sonder-Schutzmittel,Agents de protection spéciaux,特殊保護剤の製作
531,Gas Poisoning Antidote,Entgiftungsmittel,Solutions antitoxiques,中毒緩和剤の製作
532,Flamethrower Fuel,Kosmobrenner-Brennstoff,Carburant pour lance-flammes,火炎放射器燃料の製作
533,Cured Foodstuffs,Haltbare Lebensmittel,Aliments de longue conservation,保存食の製作
534,Nutrient Supplement Jelly,Nahrungsergänzungsgel,Gelée nutritive,栄養補助ゼリーの製作
535,Irregular Spongoi Analysis,Struktur-Analyse unnatürlicher Hyphen,Étude des champignons anormaux,異常菌床の成分調査
536,Insulating Material,Isoliermaterialien,Matériaux isolants,絶縁資材の調達
537,Fallen Drone Salvage,Drohnen-Bergung,Recherche des drones accidentés,墜落したドローンの捜索
538,Rare Siderite Extraction,Meteoreisenbergung,Collecte de fer météorique rare,稀少隕鉄の回収
539,Medicinal Sclerotia,Hyphen für Medikamente,Noyaux fongiques aux propriétés médicinales,薬剤用菌核の調達
540,Sporing Mist Analysis,Sporennebel-Erforschung,Étude de l'impact du nuage de spores,胞子霧の植生影響調査
541,Mutated Spongoi,Nutzpilze,Champignons comestibles,有用菌類の採集
542,Edible Fish,Speisefische,Poissons comestibles,食用魚の調達
543,Sunken Drone Salvage,Drohnen-Wasserbergung,Recherche de drones immergés,水没したドローンの捜索
544,Mutated Fish,Unnatürliche Fische,Capture de poissons mutants,変異した魚の捕獲
